N;CN;COUNTRY;CSSSA LEGAL?;DATE OF DECRIM;MAX PENALTY;CONST.;BROAD PROT.;EMPLOY.;HATE CRIME;INCITEMENT;BAN CONV. THERAPIES;SAME SEX MARRIAGE;CIVIL UNIONS;JOINT ADOPTION;SECOND PARENT ADOPTION
1;1;Algeria;NO;-;2;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
2;2;Angola;YES;2021;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
3;3;Benin;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
4;4;Botswana;YES;2019;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
5;5;Burkina Faso;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
6;6;Burundi;NO;-;2;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
7;7;Cameroon;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
8;8;Cabo Verde;YES;2004;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
9;9;Central Africa Republic;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
10;10;Chad;NO;-;2;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
11;11;Comoros;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
12;12;Congo;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
13;13;Côte d'Ivoire;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
14;14;DRC;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
15;15;Djibouti;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
16;16;Egypt;DE FACTO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
17;17;Equatorial Guinea;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
18;18;Eritrea;NO;-;7;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
19;19;Eswatini;NO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
20;20;Ethiopia;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21;21;Gabon;YES;2020;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
22;22;Gambia;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
23;23;Ghana;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
24;24;Guinea;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
25;25;Guinea-Bissau;YES;1993;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
26;26;Kenya;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
27;27;Lesotho;YES;2012;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
28;28;Liberia;NO;-;1;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
29;29;Libya;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
30;30;Madagascar;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
31;31;Malawi;NO;-;14;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
32;32;Mali;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
33;33;Mauritania;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
34;34;Mauritius;NO;-;5;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO
35;35;Morocco;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
36;36;Mozambique;YES;2015;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
37;37;Namibia;NO;-;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
38;38;Niger;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
39;39;Nigeria;NO;-;VARIES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
40;40;Rwanda;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
41;41;Sao Tome & Principe;YES;2012;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
42;42;Senegal;NO;-;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
43;43;Seychelles;YES;2016;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
44;44;Sierra Leone;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
45;45;Somalia;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
46;46;South Africa;YES;1998;-;YES;YES;YES;NO;YES;NO;YES;YES;YES;YES
47;47;South Sudan;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
48;48;Sudan;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
49;49;Tanzania;NO;-;FOR LIFE;NO;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO
50;50;Togo;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
51;51;Tunisia;NO;-;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
52;52;Uganda;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
53;53;Zambia;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
54;54;Zimbabwe;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
55;1;Antigua and Barbuda;NO;-;15;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
56;2;Argentina;YES;1903;-;NO;LIMITED;LIMITED;YES;NO;LIMITED;YES;YES;YES;YES
57;3;Bahamas;YES;1991;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
58;4;Barbados;NO;-;FOR LIFE;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
59;5;Belize;YES;2016;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
60;6;Bolivia;YES;1832;-;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO
61;7;Brazil;YES;1831;-;NO;YES;YES;YES;YES;YES;YES;YES;YES;YES
62;8;Chile;YES;1999;-;NO;YES;YES;YES;NO;NO;NO;YES;NO;NO
63;9;Colombia;YES;1981;-;NO;YES;YES;YES;YES;NO;YES;YES;YES;YES
64;10;Costa Rica;YES;1971;-;NO;NO;YES;NO;NO;NO;YES;NO;YES;YES
65;11;Cuba;YES;1979;-;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO
66;12;Dominica;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
67;13;Dominican Republic;YES;1822;-;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
68;14;Ecuador;YES;1997;-;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO
69;15;El Salvador;YES;1826;-;NO;NO;LIMITED;YES;NO;NO;NO;NO;NO;NO
70;16;Grenada;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
71;17;Guatemala;YES;1834;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
72;18;Guyana;NO;-;FOR LIFE;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
73;19;Haiti;YES;1791;-;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
74;20;Honduras;YES;1899;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
75;21;Jamaica;NO;-;10;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO;NO
76;22;Mexico;YES;1872;-;YES;YES;YES;LIMITED;YES;LIMITED;YES;LIMITED;LIMITED;LIMITED
77;23;Nicaragua;YES;2008;-;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO
78;24;Panama;YES;2008;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
79;25;Paraguay;YES;1990;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
80;26;Peru;YES;1924;-;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO
81;27;Saint Kitts & Nevis;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
82;28;Saint Lucia;NO;-;10;NO;NO;YES;LIMITED;NO;NO;NO;NO;NO;NO
83;29;Saint Vinc. & the Gren.;NO;-;10;NO;NO;NO;LIMITED;NO;NO;NO;NO;NO;NO
84;30;Suriname;YES;1869;-;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO
85;31;Trinidad and Tobago;YES;2018;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
86;32;Uruguay;YES;1934;-;NO;YES;YES;YES;YES;LIMITED;YES;YES;YES;YES
87;33;Venezuela;YES;1836;-;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO
88;1;Canada;YES;1969;-;NO;YES;YES;YES;YES;LIMITED;YES;YES;YES;YES
89;2;United States;YES;1962-2003;-;NO;LIMITED;YES;YES;NO;LIMITED;YES;LIMITED;YES;YES
90;1;Afghanistan;NO;-;DEATH (P);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
91;2;Bahrain;YES;1976;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
92;3;Bangladesh;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
93;4;Bhutan;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
94;5;Brunei Darussalam;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
95;6;Cambodia;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
96;7;China;YES;1997;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
97;8;East Timor;YES;1975;-;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
98;9;India;YES;2018;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
99;10;Indonesia1;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
100;11;Iraq;DE FACTO;;UNDETERM.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
101;12;Iran;NO;-;DEATH;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
102;13;Israel;YES;1988;-;NO;YES;YES;NO;LIMITED;NO;NO;YES;YES;YES
103;14;Japan;YES;1882;-;NO;LIMITED;LIMITED;NO;NO;NO;NO;LIMITED;NO;NO
104;15;Jordan;YES;1951;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
105;16;Kazakhstan;YES;1998;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
106;17;Kuwait;NO;-;7;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
107;18;Kyrgyzstan;YES;1998;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
108;19;Laos;YES;NEVER CRIM;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
109;20;Lebanon;NO;-;1;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
110;21;Malaysia;NO;-;20;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
111;22;Maldives;NO;-;8;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
112;23;Mongolia;YES;1961;-;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO
113;24;Myanmar;NO;-;10;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
114;25;Nepal;YES;2007;-;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO
